indice,g_proba,g_monto,ge,leads,desembolso,marcaciones
16.0,4.0,1.0,1.0,3224.0,2424350.2,35464.0
16.0,4.0,1.0,5.0,3224.0,1974648.39008875,12896.0
16.0,4.0,1.0,4.0,3224.0,2078577.252725,16120.0
16.0,4.0,1.0,2.0,3224.0,2303132.69,29016.0
16.0,4.0,1.0,3.0,3224.0,2187976.0555,22568.0
34.0,7.0,4.0,1.0,3833.0,231724.28514375,42163.0
34.0,7.0,4.0,5.0,3833.0,190163.5425,15332.0
34.0,7.0,4.0,4.0,3833.0,200172.15,19165.0
34.0,7.0,4.0,2.0,3833.0,220689.795375,34497.0
34.0,7.0,4.0,3.0,3833.0,210180.7575,26831.0
44.0,9.0,4.0,1.0,3784.0,246268.8592875,41624.0
44.0,9.0,4.0,5.0,3784.0,202606.0,15136.0
44.0,9.0,4.0,4.0,3784.0,212736.3,18920.0
44.0,9.0,4.0,2.0,3784.0,234541.77075,34056.0
44.0,9.0,4.0,3.0,3784.0,223373.115,26488.0
7.0,2.0,2.0,1.0,4357.0,1735467.0,47927.0
7.0,2.0,2.0,5.0,4357.0,1413548.71816875,17428.0
7.0,2.0,2.0,3.0,4357.0,1566258.9675,30499.0
7.0,2.0,2.0,2.0,4357.0,1648693.65,39213.0
7.0,2.0,2.0,4.0,4357.0,1487946.019125,21785.0
8.0,2.0,3.0,1.0,4216.0,1190698.25,46376.0
8.0,2.0,3.0,5.0,4216.0,969831.1664890625,16864.0
8.0,2.0,3.0,3.0,4216.0,1074605.170625,29512.0
8.0,2.0,3.0,2.0,4216.0,1131163.3375,37944.0
8.0,2.0,3.0,4.0,4216.0,1020874.91209375,21080.0
42.0,9.0,2.0,1.0,3826.0,604816.70500125,42086.0
42.0,9.0,2.0,5.0,3826.0,497584.2,15304.0
42.0,9.0,2.0,3.0,3826.0,548586.5805,26782.0
42.0,9.0,2.0,2.0,3826.0,576015.909525,34434.0
42.0,9.0,2.0,4.0,3826.0,522463.41,19130.0
43.0,9.0,3.0,1.0,4119.0,338413.106233125,45309.0
43.0,9.0,3.0,5.0,4119.0,278413.3,16476.0
43.0,9.0,3.0,3.0,4119.0,306950.66325,28833.0
43.0,9.0,3.0,2.0,4119.0,322298.1964125,37071.0
43.0,9.0,3.0,4.0,4119.0,292333.965,20595.0
30.0,6.0,5.0,1.0,3698.0,348141.926475,40678.0
30.0,6.0,5.0,5.0,3698.0,284986.928475,14792.0
30.0,6.0,5.0,4.0,3698.0,299986.2405,18490.0
30.0,6.0,5.0,2.0,3698.0,331563.7395,33282.0
30.0,6.0,5.0,3.0,3698.0,315774.99,25886.0
11.0,3.0,1.0,1.0,1694.0,735000.0,18634.0
11.0,3.0,1.0,5.0,1694.0,600162.5,6776.0
11.0,3.0,1.0,3.0,1694.0,665000.0,11858.0
11.0,3.0,1.0,2.0,1694.0,700000.0,15246.0
11.0,3.0,1.0,4.0,1694.0,631750.0,8470.0
12.0,3.0,2.0,1.0,4120.0,1108674.0,45320.0
12.0,3.0,2.0,5.0,4120.0,905285.115,16480.0
12.0,3.0,2.0,3.0,4120.0,1003086.0,28840.0
12.0,3.0,2.0,2.0,4120.0,1055880.0,37080.0
12.0,3.0,2.0,4.0,4120.0,952931.7,20600.0
45.0,9.0,5.0,2.0,3825.0,247412.2455,34425.0
45.0,9.0,5.0,3.0,3825.0,235630.71,26775.0
45.0,9.0,5.0,5.0,3825.0,213724.0,15300.0
45.0,9.0,5.0,1.0,3825.0,259782.857775,42075.0
45.0,9.0,5.0,4.0,3825.0,224410.2,19125.0
46.0,10.0,1.0,1.0,6230.0,1408550.7039384374,68530.0
46.0,10.0,1.0,5.0,6230.0,1158818.15,24920.0
46.0,10.0,1.0,3.0,6230.0,1277597.010375,43610.0
46.0,10.0,1.0,2.0,6230.0,1341476.86089375,56070.0
46.0,10.0,1.0,4.0,6230.0,1216759.0575,31150.0
47.0,10.0,2.0,2.0,4079.0,476336.062125,36711.0
47.0,10.0,2.0,3.0,4079.0,453653.3925,28553.0
47.0,10.0,2.0,5.0,4079.0,411477.0,16316.0
47.0,10.0,2.0,1.0,4079.0,500152.86523125,44869.0
47.0,10.0,2.0,4.0,4079.0,432050.85,20395.0
48.0,10.0,3.0,5.0,4178.0,234768.0,16712.0
48.0,10.0,3.0,1.0,4178.0,285361.9713,45958.0
48.0,10.0,3.0,3.0,4178.0,258831.72,29246.0
48.0,10.0,3.0,2.0,4178.0,271773.306,37602.0
48.0,10.0,3.0,4.0,4178.0,246506.4,20890.0
49.0,10.0,4.0,5.0,3261.0,213374.5,13044.0
49.0,10.0,4.0,1.0,3261.0,259358.038340625,35871.0
49.0,10.0,4.0,3.0,3261.0,235245.38625,22827.0
49.0,10.0,4.0,4.0,3261.0,224043.225,16305.0
49.0,10.0,4.0,2.0,3261.0,247007.6555625,29349.0
50.0,10.0,5.0,1.0,3175.0,243101.25,34925.0
50.0,10.0,5.0,4.0,3175.0,210000.0,15875.0
50.0,10.0,5.0,3.0,3175.0,220500.0,22225.0
50.0,10.0,5.0,2.0,3175.0,231525.0,28575.0
50.0,10.0,5.0,5.0,3175.0,200000.0,12700.0
20.0,4.0,5.0,1.0,4313.0,360642.0,47443.0
20.0,4.0,5.0,5.0,4313.0,293745.1630125,17252.0
20.0,4.0,5.0,4.0,4313.0,309205.43475,21565.0
20.0,4.0,5.0,2.0,4313.0,342609.9,38817.0
20.0,4.0,5.0,3.0,4313.0,325479.405,30191.0
24.0,5.0,4.0,1.0,3911.0,775387.137,43021.0
24.0,5.0,4.0,5.0,3911.0,633140.5205575,15644.0
24.0,5.0,4.0,4.0,3911.0,666463.70585,19555.0
24.0,5.0,4.0,2.0,3911.0,738463.94,35199.0
24.0,5.0,4.0,3.0,3911.0,701540.743,27377.0
39.0,8.0,4.0,1.0,3838.0,301227.9165,42218.0
39.0,8.0,4.0,5.0,3838.0,247201.4,15352.0
39.0,8.0,4.0,3.0,3838.0,273222.6,26866.0
39.0,8.0,4.0,2.0,3838.0,286883.73,34542.0
39.0,8.0,4.0,4.0,3838.0,260212.0,19190.0
40.0,8.0,5.0,1.0,3864.0,175568.880375,42504.0
40.0,8.0,5.0,5.0,3864.0,144079.85,15456.0
40.0,8.0,5.0,3.0,3864.0,159246.15,27048.0
40.0,8.0,5.0,2.0,3864.0,167208.4575,34776.0
40.0,8.0,5.0,4.0,3864.0,151663.0,19320.0
27.0,6.0,2.0,1.0,4160.0,1606193.276625,45760.0
27.0,6.0,2.0,5.0,4160.0,1314820.346625,16640.0
27.0,6.0,2.0,4.0,4160.0,1384021.4175,20800.0
